,count,unique,top,freq,mean,std,min,25%,50%,75%,max
q1,22768,147,Ecuador,3201,,,,,,,
q29a,22768.0,,,,3.0158116654954323,0.7489412975508339,1.0,3.0,3.0,3.0,5.0
q29b,22768.0,,,,2.9632378777231203,0.7873084647629045,1.0,3.0,3.0,3.0,5.0
q29c,22768.0,,,,3.0989546732255797,0.7918651029923874,1.0,3.0,3.0,3.0,5.0
q29d,22768.0,,,,3.1265372452565003,0.7785628201044211,1.0,3.0,3.0,3.0,5.0
q29e,22768.0,,,,3.0193692902319045,0.8155400381246314,1.0,3.0,3.0,3.0,5.0
q29f,22768.0,,,,3.069219957835559,0.8183479621793044,1.0,3.0,3.0,3.0,5.0
q29g,22768.0,,,,3.193078004216444,0.7677913959996522,1.0,3.0,3.0,4.0,5.0
q29h,22768.0,,,,3.220528812368236,0.7984844440239991,1.0,3.0,3.0,4.0,5.0
q29i,22768.0,,,,3.7147312016865777,0.7805836326278139,1.0,3.0,4.0,4.0,5.0
q30a,22768.0,,,,3.0216531974701337,0.8012465848137666,1.0,3.0,3.0,3.0,5.0
q30b,22768.0,,,,3.763264230498946,0.7292011199903873,1.0,4.0,4.0,4.0,5.0
q30c,22768.0,,,,3.162596626844694,0.6961062726871359,1.0,3.0,3.0,3.0,5.0
q30d,22768.0,,,,3.773410049191848,0.7043846277851367,1.0,4.0,4.0,4.0,5.0
q30e,22768.0,,,,3.802969079409698,0.7005735682702245,1.0,4.0,4.0,4.0,5.0
q30f,22768.0,,,,3.1873243148278285,0.7616119660352437,1.0,3.0,3.0,4.0,5.0
q30g,22768.0,,,,3.6754655657062543,0.7974190552041311,1.0,3.0,4.0,4.0,5.0
q30h,22768.0,,,,3.7764406184118062,0.7159522593782305,1.0,4.0,4.0,4.0,5.0
q30i,22768.0,,,,3.8010804638088547,0.703325978359342,1.0,4.0,4.0,4.0,5.0
q30j,22768.0,,,,3.756983485593816,0.7284898656345008,1.0,4.0,4.0,4.0,5.0
q30k,22768.0,,,,3.751712930428672,0.7302676688542473,1.0,4.0,4.0,4.0,5.0
q30l,22768.0,,,,3.6969430780042165,0.7664079698085784,1.0,3.0,4.0,4.0,5.0
q31a,22768.0,,,,3.077345397048489,0.6986485192184558,1.0,3.0,3.0,3.0,5.0
q31b,22768.0,,,,3.090873155305692,0.6849402960142418,1.0,3.0,3.0,3.0,5.0
q31c,22768.0,,,,3.1238580463808856,0.6738767761863313,1.0,3.0,3.0,3.0,5.0
q31d,22768.0,,,,3.1403285312719604,0.6828744336242214,1.0,3.0,3.0,3.0,5.0
q32a,22768.0,,,,2.1403285312719604,0.7755161659231359,1.0,2.0,2.0,2.0,5.0
